case_id,WT,TC,ET,RC,mean_wt_tc_et,dice_1_netc,dice_2_snf_h,dice_3_et,dice_4_rc
BraTS-GLI-02608-100,0.9036207743254184,0.8349100011042809,0.9670266378689705,0.0656687590535973,0.9018524710995566,0.3919772583701832,0.9061030980470816,0.9670266378689705,0.0656687590535973
BraTS-GLI-02608-101,0.8363806136060471,0.9679600708420544,0.9674980686458449,0.9169859514687101,0.9239462510313156,0.7495107632093934,0.7999189912276027,0.9674980686458449,0.9169859514687101
BraTS-GLI-02608-102,0.9525906116700815,0.9829437369014993,0.9848544712234953,0.9738263398421271,0.9734629399316921,0.7091757387247278,0.9420917936212849,0.9848544712234953,0.9738263398421271
BraTS-GLI-02608-103,0.9593323572474378,0.9052005943536404,0.9478562249308774,0.7906607369758577,0.9374630588439853,0.0032232070910556,0.9524577626364458,0.9478562249308774,0.7906607369758577
BraTS-GLI-02608-104,0.9583973727422004,0.9432631807333478,0.9432631807333478,0.9642835337932719,0.9483079114029653,1.0,0.9481369662367166,0.9432631807333478,0.9642835337932719
BraTS-GLI-02608-105,0.9556741863268469,0.9537129248755142,0.9537129248755142,0.9940403532706255,0.954366678692625,1.0,0.9341352913607249,0.9537129248755142,0.9940403532706255
BraTS-GLI-02635-100,0.972391779134233,1.0,1.0,0.0,0.9907972597114111,1.0,0.972391779134233,1.0,0.0
BraTS-GLI-02635-101,0.9138712289588394,0.0,0.0,1.0,0.3046237429862798,1.0,0.9136840654133136,0.0,1.0
BraTS-GLI-02637-100,0.8774343297101449,0.7432542927228127,0.7432542927228127,0.867410336063259,0.7879809717185902,1.0,0.8654870028186659,0.7432542927228127,0.867410336063259
BraTS-GLI-02637-101,0.9288648698691169,1.0,1.0,0.8962367555717939,0.9762882899563724,1.0,0.9288648698691169,1.0,0.8962367555717939
BraTS-GLI-02654-100,0.9160186253830541,0.5672645739910314,0.5412249705535924,0.9074458660702616,0.6748360566425592,0.0,0.9255736603668477,0.5412249705535924,0.9074458660702616
BraTS-GLI-02657-100,0.4372046754538672,1.0,1.0,0.9886608015640274,0.8124015584846225,1.0,0.4372046754538672,1.0,0.9886608015640274
BraTS-GLI-02660-100,0.948561691441896,0.6867061090177491,0.8435438691605674,0.9503530299936263,0.8262705565400709,0.1626920670235695,0.8696837314577072,0.8435438691605674,0.9503530299936263
BraTS-GLI-02722-100,0.9373213692256563,1.0,1.0,0.8251249107780158,0.9791071230752187,1.0,0.9373213692256563,1.0,0.8251249107780158
BraTS-GLI-02724-100,0.9687399884121196,0.07818052594171997,0.10617760617760617,0.6170850505807418,0.38436604017714854,0.0,0.9655448745389602,0.10617760617760617,0.6170850505807418
BraTS-GLI-02735-100,0.9268235950874582,0.09267241379310345,0.09267241379310345,0.9371170015676215,0.37072280755788833,1.0,0.9451787751996957,0.09267241379310345,0.9371170015676215
BraTS-GLI-02735-101,0.9195103568365517,0.0,0.0,0.9420257318020896,0.30650345227885056,1.0,0.926784544859201,0.0,0.9420257318020896
BraTS-GLI-02745-100,0.8446244252961057,0.9410081821822968,0.9388661601402688,0.0,0.9081662558728905,0.5667574931880109,0.6432383183652219,0.9388661601402688,0.0
BraTS-GLI-02745-101,0.832410723976989,0.9621976300068553,0.9599077879121981,0.0,0.9181720472986807,0.5897435897435898,0.6175289105295192,0.9599077879121981,0.0
BraTS-GLI-02766-100,0.8418292706096936,0.6,0.6,0.9414563806777217,0.6806097568698979,1.0,0.8420211855542666,0.6,0.9414563806777217
BraTS-GLI-02766-101,0.8775340408693358,0.0,0.0,0.9586206896551724,0.29251134695644526,1.0,0.8778278705170383,0.0,0.9586206896551724
BraTS-GLI-02769-100,0.86659333752357,0.6496512835732304,0.6496512835732304,0.736517719568567,0.721965301556677,1.0,0.8928531003101442,0.6496512835732304,0.736517719568567
BraTS-GLI-02769-101,0.873875849967098,0.5277963831212324,0.5277963831212324,0.8300675301671648,0.6431562054031876,1.0,0.8854266781324296,0.5277963831212324,0.8300675301671648
BraTS-GLI-02789-100,0.9173218206125128,0.0,0.0,0.5036372023703914,0.3057739402041709,1.0,0.9173085414315851,0.0,0.5036372023703914
BraTS-GLI-02789-101,0.9134998738329548,1.0,1.0,0.515523039092165,0.9711666246109849,1.0,0.9134998738329548,1.0,0.515523039092165
BraTS-GLI-02791-100,0.8189169031506949,0.56923285565752,0.8487925870460502,0.0,0.7456474486180884,0.02615651585051001,0.6971242468653314,0.8487925870460502,0.0
BraTS-GLI-02791-101,0.8185784668994649,0.5522449033380336,0.8371198040802047,0.0,0.7359810581059011,0.06918739635157546,0.6953956870993082,0.8371198040802047,0.0
BraTS-GLI-02796-100,0.9712882026414854,1.0,1.0,0.9168681635002879,0.9904294008804951,1.0,0.9712882026414854,1.0,0.9168681635002879
